Time			Process		PID	Message		
----------		-------		-----	-------
Apr 22 20:18:16 	kea-dhcp6 	90553 	INFO [kea-dhcp6.dhcp6.0x2d36c2a12000] DHCP6_STARTED Kea DHCPv6 server version 2.4.0 started
Apr 22 20:18:16 	kea-dhcp4 	90122 	INFO [kea-dhcp4.dhcp4.0x2785b6a12000] DHCP4_STARTED Kea DHCPv4 server version 2.4.0 started
Apr 22 20:20:02 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:22:11 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:24:07 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:25:59 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:27:54 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:29:45 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:31:52 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:33:52 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:36:02 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:38:12 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:40:01 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:41:52 	dhcp6c 	52073 	Sending Solicit
Apr 22 20:43:45 	dhcp6c 	52073 	Sending Solicit
